filepath,split,label,class_id,source
shapes32/train/circle/circle_0000.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0001.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0002.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0003.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0004.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0005.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0006.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0007.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0008.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0009.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0010.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0011.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0012.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0013.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0014.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0015.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0016.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0017.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0018.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0019.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0020.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0021.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0022.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0023.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0024.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0025.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0026.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0027.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0028.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0029.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0030.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0031.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0032.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0033.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0034.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0035.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0036.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0037.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0038.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0039.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0040.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0041.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0042.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0043.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0044.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0045.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0046.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0047.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0048.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0049.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0050.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0051.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0052.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0053.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0054.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0055.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0056.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0057.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0058.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0059.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0060.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0061.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0062.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0063.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0064.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0065.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0066.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0067.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0068.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0069.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0070.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0071.png,train,circle,0,generated_by_generate_dataset.py
shapes32/train/circle/circle_0072.png,train,circle,0,generated_by_generate_dataset.py
